model,feature_count,folds,threshold,auc,accuracy,balanced_accuracy,false_positive_rate,no_oil_specificity,oil_recall,true_no_oil_pred_no_oil,true_no_oil_pred_oil,true_oil_pred_no_oil,true_oil_pred_oil
extra_trees,173,6,0.6250000000000001,0.3265788584937521,0.7630057803468208,0.5971800067544748,0.03968253968222474,0.9603174603098388,0.23404255318650974,121,5,36,11
random_forest,173,6,0.5800000000000001,0.2941573792637623,0.7514450867052023,0.5825734549138805,0.04761904761866969,0.9523809523733938,0.21276595744228158,120,6,37,10
logistic_l2,173,6,0.905,0.37082066869300917,0.7167630057803468,0.5454238432961837,0.07936507936444948,0.920634920627614,0.17021276595382528,116,10,39,8
hist_gradient_boosting,173,6,0.9,0.24332995609591357,0.7283236994219653,0.5333502195204323,0.03968253968222474,0.9603174603098388,0.10638297872114079,121,5,42,5
