feature_set,model,feature_count,block_auc,block_accuracy_0p5,block_balanced_accuracy_opt,block_threshold,file_auc,file_accuracy_opt,file_balanced_accuracy_opt,file_f1_opt,file_threshold
with_position_distance_metadata,logistic_l2,175,0.9717727041755675,0.9480659577746956,0.9514806610236091,0.715,0.998263888888889,0.9791666666666666,0.9791666666666667,0.9795918367346939,0.3999999999999999
stable_no_raw_metadata,logistic_l2,173,0.9705280238887367,0.9466789952226845,0.9507396509040114,0.69,0.998263888888889,0.9791666666666666,0.9791666666666667,0.9795918367346939,0.41999999999999993
with_position_distance_metadata,extra_trees,175,0.9738620941767212,0.8850362151333026,0.9185745269311935,0.39499999999999996,0.9791666666666667,0.9375,0.9375,0.9361702127659575,0.35999999999999993
stable_no_raw_metadata,extra_trees,173,0.9698867212621428,0.8801047927261519,0.9078985538516463,0.32999999999999996,0.9791666666666667,0.9166666666666666,0.9166666666666667,0.9230769230769231,0.29
with_position_distance_metadata,random_forest,175,0.9643821832880358,0.8938203112960394,0.8994698964163663,0.3499999999999999,0.9722222222222222,0.9166666666666666,0.9166666666666667,0.92,0.36999999999999994
with_position_distance_metadata,hist_gradient_boosting,175,0.9523222340865795,0.8839574664817383,0.8953419681859909,0.075,0.9635416666666667,0.9166666666666666,0.9166666666666667,0.9130434782608695,0.43999999999999995
stable_no_raw_metadata,random_forest,173,0.960489884109287,0.869933734011404,0.895465010464059,0.30999999999999994,0.9722222222222221,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.39499999999999996
stable_no_raw_metadata,hist_gradient_boosting,173,0.9438639210385092,0.8482046540298968,0.8982711728243569,0.05,0.9565972222222223,0.8958333333333334,0.8958333333333334,0.9019607843137255,0.12499999999999999
