feature,importance
win4_z_max,1.3845957247629563
peak_top2_prominence,1.2230197916627012
cfar_corr_data,1.2093204056821423
win4_peak_count,1.149496703952998
distnorm_raw_rms_times_r2,1.1435109364209768
spec_energy_0.05_0.12,1.05009196139215
spec_energy_0.25_0.50,1.0136372645944554
peak_top5_idx_rel,1.0060064701220455
peak_top1_top2_gap_rel,0.9573168685860729
win2_peak_count,0.9553775974296284
win5_z_max,0.9363661948297298
distnorm_raw_max_times_r2,0.891440645347339
win2_z_max,0.8823621447487775
peak_top2_to_top1_ratio,0.8393880096916975
peak_top_spacing_std_rel,0.7893750572117986
peak_top5_z,0.7721596340769585
win2_raw_max,0.7352957032386745
z_p98,0.7023800916633844
distnorm_cfar_margin_times_r2,0.6919972242874836
spec_energy_0.00_0.05,0.6675796922508299
win4_raw_max,0.6668458931455087
peak_top5_to_top1_ratio,0.6304689454475167
z_p10,0.6237808756050374
peak_top4_idx_rel,0.6186007816873715
spec_entropy,0.6113509011992122
win5_energy_share,0.6006388779572861
peak_prominence_mean,0.599375659426463
cfar_z_skew,0.5905172188709283
win3_peak_count,0.5889511481955128
win1_peak_count,0.5787314923841703
cfar_residual_max,0.5694250084392475
peak_prominence_sum,0.5636647562548475
raw_max,0.5354314875052688
z_crest_factor,0.5269101985374427
peak_width_mean_rel,0.5173817065623887
cfar_exceed_count,0.5128992260034414
cfar_exceed_frac,0.5128857077971134
cfar_data_over_threshold_max,0.49206155436890286
peak_top_spacing_min_rel,0.49132353823481134
win3_residual_share,0.48483079203018503
peak_top2_z,0.4811064647907677
spec_energy_0.12_0.25,0.4618429648145487
win5_raw_max,0.45698030116206667
peak_top3_idx_rel,0.45366818523947217
peak_top2_cfar_margin_z,0.45013200489215605
peak_top4_z,0.4477242677441618
win_front_back_max_z_ratio,0.44530071005293353
spec_bandwidth,0.41938323758444596
win2_residual_share,0.4060915818534355
raw_std,0.40575624151962036
peak_top1_raw,0.40130982790838
raw_diff_std,0.3990527203891794
peak_top_spacing_mean_rel,0.38853448350221725
win1_z_max,0.37922024046709185
raw_rms,0.3734387362038796
cfar_exceed_span_rel,0.37250746018280334
win4_energy_share,0.36782908626233024
