==========>>>

Pos:7
Dis:262.57mm
data - cfar
56111,13753
61745,13738
63144,13646
66732,13955
24336,13885
72361,13755
83471,13563
47410,13742
47349,14120
37426,14354
18136,14632
10321,14878
7346,14903
16417,14875
13364,14869
7942,14933
5420,14974
6866,15012
2312,15037
1190,15037
6335,14991
8705,14934
7903,14899
11085,14928
6851,14911
7554,14968
3453,14986
3678,15020
1526,14999
4690,14989
4826,14958
6052,14938
5953,14914
7001,14907
6237,14892
5585,14878
4715,14880
3379,14885
2604,14869
3659,14866
4319,14845
5733,14807
6379,14815
5104,14791
4840,14787
4128,14760
4765,14763
2300,14755
3774,14743
4246,14701
6203,14704
5629,14663
6561,14662
5219,14655
5263,14659
2231,14662
3992,14666
3220,14631
4070,14641
3913,14634
5309,14620
5315,14602
4625,14582
4521,14571
3922,14549
3534,14527
3280,14511
2301,14486
5410,14437
5464,14430
3922,14426
3100,14423
4087,14368
4922,14373
1223,14315
3822,14294
3402,14237
3537,14210
3821,14236
3578,14224
3964,14197
5430,14174
3232,14134
4200,14074
2137,13977
2002,13945
2894,13868
3887,13738
3143,13468
3139,13113
4134,12737
3793,12107
1438,11566
2920,11401
1857,10867
4280,10383
4229,9894
3698,9471
3331,9028
3595,9028
3202,9028
1712,9028
2538,9028
1884,9028
4880,9028
3586,9028
2015,9028
3969,9028
3485,9028
1667,9028
4052,9028
284,9028
4127,9028
3194,9028
2414,9028
3370,9028
4043,9028
2963,9028
4127,9028
2996,9028
2480,9028
3620,9028
2232,9028
2262,9028
4001,9028
5264,9028
2881,9028
2090,9028
2630,9028
3193,9028
2258,9028
530,9028
2687,9028
3027,9028
769,9028
4667,9028
3694,9028
1937,9028
3969,9028
1322,9028
2524,9028
2726,9028
3495,9028
4816,9028
2251,9028
2319,9028
4555,9028
1977,9028
3012,9028
3581,9028
1191,9028
5528,9028
4250,9028
1669,9028
4911,9028
3761,9028
2832,9028
3240,9028
2262,9028
3465,9028
3027,9028
1911,9028
2409,9028
3528,9028
761,9028
2213,9028
914,9028
1658,9028
1579,9028
5595,9028
3490,9028
3747,9028
3771,9028
2973,9028
4620,9028
1157,9028
5142,9028
2131,9028
3052,9028
2529,9028
2886,9028
1990,9028
2273,9028
2829,9028
3429,9028
2666,9028
433,9028
1955,9028
2659,9028
1501,9028
1971,9028
3061,9028
1711,9028
1538,9028
1002,9028
1894,9028
895,9028
1674,9028
2216,9028
1732,9028
3665,9028
3697,9028
3700,9028
1421,9028
5019,9028
4732,9028
2428,9028
4097,9028
328,9028
4068,9028
1233,9028
3710,9028
3867,9028
1217,9028
640,9028
2583,9028
2765,9028
1871,9028
813,9028
1816,9028

Pos:7
Dis:262.57mm
data - cfar
65799,19751
72033,19768
71568,19591
88142,19976
24230,19972
73774,19921
95019,19769
43751,19928
55083,20307
43835,20524
16568,20811
19361,21102
5956,21089
19222,21086
19332,21016
12613,21071
11143,21117
11588,21175
2955,21197
6169,21232
6419,21168
11458,21102
12009,21042
15848,21036
12175,21018
13517,21033
8980,21037
9380,21071
4824,21041
9587,21048
9098,20962
10414,20948
9984,20900
12032,20887
11190,20871
9412,20849
8557,20854
7770,20837
7487,20814
8837,20783
8780,20739
10455,20700
10368,20695
9664,20685
9927,20671
9098,20620
8748,20622
7093,20601
9499,20569
8232,20517
9420,20493
9410,20448
10382,20420
8611,20406
7903,20401
5519,20370
8341,20325
7094,20274
8769,20256
8772,20205
8991,20170
7891,20140
9501,20088
8498,20049
6348,20023
6587,19994
6883,19955
7877,19904
7421,19842
8001,19832
8524,19784
7928,19746
8120,19712
6042,19647
6283,19575
5998,19512
7323,19477
7006,19454
6426,19423
8384,19419
8188,19341
7783,19314
6164,19258
6787,19165
4436,19058
6537,19056
6322,18902
6598,18826
6287,18488
8278,18097
4664,17786
5736,17076
4963,16527
4650,16376
5311,15668
7230,15150
5523,14614
7217,14117
7224,13595
6281,13516
6253,13516
5400,13516
6080,13516
6085,13516
5090,13516
6590,13516
7248,13516
5312,13516
7489,13516
4100,13516
4471,13516
5052,13516
5923,13516
5857,13516
6264,13516
5594,13516
7444,13516
4848,13516
7771,13516
6243,13516
5225,13516
3191,13516
5624,13516
4162,13516
4785,13516
8059,13516
2538,13516
5522,13516
3417,13516
5499,13516
5961,13516
3246,13516
5108,13516
4844,13516
6118,13516
5880,13516
4448,13516
5007,13516
5695,13516
6220,13516
5462,13516
3105,13516
6788,13516
7101,13516
3692,13516
5306,13516
3929,13516
5178,13516
4744,13516
6645,13516
4161,13516
6193,13516
3930,13516
5628,13516
6893,13516
2939,13516
2487,13516
5436,13516
2323,13516
4767,13516
5888,13516
4653,13516
6935,13516
3479,13516
2913,13516
4224,13516
3779,13516
4327,13516
6716,13516
2270,13516
4644,13516
5277,13516
7674,13516
3949,13516
3348,13516
3636,13516
3092,13516
5433,13516
4178,13516
4150,13516
6064,13516
5264,13516
2029,13516
6643,13516
2978,13516
3680,13516
3712,13516
1870,13516
4127,13516
4707,13516
727,13516
6863,13516
6047,13516
2862,13516
6611,13516
859,13516
6557,13516
5968,13516
1916,13516
5359,13516
3978,13516
3594,13516
4893,13516
2864,13516
5200,13516
3055,13516
4898,13516
4451,13516
4249,13516
5765,13516
954,13516
5137,13516
2676,13516
4412,13516
4724,13516
2160,13516
5036,13516
10520,13516
5974,13516
5566,13516

Pos:7
Dis:262.57mm
data - cfar
65682,20190
76986,20175
78599,19907
98133,20248
34550,20317
68939,20287
101114,20211
46346,20312
53661,20682
49480,20940
15206,21200
21608,21554
4427,21553
17362,21563
20640,21470
14709,21483
11174,21521
14688,21605
5748,21614
7220,21687
3958,21647
10158,21603
10400,21508
15349,21489
12868,21425
14946,21435
8728,21426
11158,21466
5782,21426
8891,21448
8078,21393
10512,21359
9975,21314
11955,21288
11452,21255
10888,21258
9549,21267
8107,21257
7610,21248
7943,21215
9195,21212
9211,21169
10388,21164
9218,21120
10854,21087
9097,21049
9335,21029
7365,21003
8323,20982
8232,20929
9596,20917
8363,20863
10660,20823
7689,20754
9388,20724
6171,20679
7102,20663
6564,20596
8739,20569
6530,20525
8451,20490
8897,20429
7763,20379
7793,20340
7193,20312
5885,20274
7368,20224
6301,20182
6695,20111
10025,20074
7707,20016
7473,19987
8040,19896
7165,19851
5466,19768
6491,19724
6263,19661
7036,19665
7034,19614
7686,19607
6649,19522
7394,19461
7056,19391
6208,19277
4055,19187
5384,19193
4289,19039
5156,18969
4148,18583
8718,18169
6300,17825
3990,17066
6017,16560
6000,16317
4437,15553
6964,14953
5251,14383
4975,13912
5474,13318
5138,13184
5158,13184
5137,13184
6238,13184
3830,13184
3865,13184
5690,13184
6038,13184
4051,13184
7519,13184
4327,13184
4729,13184
2466,13184
6243,13184
8365,13184
4909,13184
5552,13184
6336,13184
3904,13184
5851,13184
5661,13184
3637,13184
2660,13184
4700,13184
3558,13184
5097,13184
6432,13184
4078,13184
4118,13184
4132,13184
4789,13184
4549,13184
5751,13184
6656,13184
3914,13184
3735,13184
5656,13184
7800,13184
4112,13184
5516,13184
5525,13184
2256,13184
5961,13184
2278,13184
5550,13184
4508,13184
3794,13184
5842,13184
4972,13184
2119,13184
3131,13184
889,13184
4185,13184
4297,13184
3304,13184
3921,13184
3997,13184
3758,13184
3102,13184
3831,13184
4849,13184
6507,13184
4755,13184
3329,13184
3561,13184
2580,13184
2419,13184
4566,13184
3130,13184
2855,13184
5129,13184
3324,13184
3959,13184
3752,13184
4946,13184
2204,13184
4533,13184
4269,13184
2790,13184
5386,13184
2842,13184
4278,13184
3330,13184
3228,13184
5053,13184
4999,13184
2408,13184
2533,13184
2329,13184
4547,13184
